sample	celltype
U11051429	Sst
U11051430	L5a
U11051431	Vip
U11051432	L2
U11051438	Sst
U11051439	Sst
U11051440	Sst
U11051441	L5a
U11051442	SMC
U11051443	Sst
U11051444	Sst
U11051445	Vip
U11051446	Sst
U11051447	L2
U11051448	L4
V07071402	Vip
V07071403	Vip
V07071404	Vip
V07071405	Vip
V07071406	Vip
V07071407	Vip
V07071409	Vip
V07071410	Vip
V07071411	Vip
V07071412	Vip
V07071413	Vip
V07071414	Vip
V07071415	Vip
V07071416	Vip
V07071417	Vip
V07071418	Vip
V07071419	Vip
V07071420	Vip
V07071421	Vip
V07071422	Vip
V07071423	Vip
V07071424	Vip
V07071426	Vip
V07071427	Vip
V07071428	Vip
V07071429	Vip
V07071430	Vip
V07071431	Vip
V07071432	Vip
V07071433	Vip
V07071434	Vip
V07071435	Vip
V07071436	Vip
V07071437	Vip
V07071438	Vip
V07071439	Vip
V07071440	Vip
V07071441	Vip
V07071442	Vip
V07071443	Vip
V07071444	Vip
V07071445	Vip
V07071446	Vip
V07071448	Vip
V07171401	Vip
V07171402	Vip
V07171403	Vip
V07171404	Vip
V07171405	Vip
V07171406	Vip
V07171407	Vip
V07171408	Vip
V07211401	Vip
V07211402	Vip
V07211403	Vip
V07211404	Vip
V07211405	Vip
V07211406	Vip
V07211407	Vip
V07211408	Vip
V07211409	Vip
V07211410	Vip
V07211411	Vip
V07211412	Vip
V07211413	Vip
V07211414	Vip
V07211415	Vip
V07211416	Vip
W01141517	Pvalb
W01141518	Pvalb
W01141519	Pvalb
W01141520	Pvalb
W01141521	Pvalb
W01141522	Pvalb
W01141523	Pvalb
W01141524	Pvalb
W01141525	Pvalb
W01141526	Pvalb
W01141527	Pvalb
W01141528	Pvalb
W01141529	Pvalb
W01141530	Igtp
W01141531	Pvalb
W01141532	Pvalb
W01141533	Pvalb
W01141534	Pvalb
W01141535	Sst
W01141536	Pvalb
W01141537	Igtp
W01141538	Igtp
Y01211501	Pvalb
Y01211502	Pvalb
Y01211503	Pvalb
Y01211504	Pvalb
Y01211505	Pvalb
Y01211506	Pvalb
Y01211507	Pvalb
Y01211508	Pvalb
Y01211509	Pvalb
Y01211510	Pvalb
Y01211511	Pvalb
Y01211512	Pvalb
Y01211513	Pvalb
Y01211514	Pvalb
Y01211515	Pvalb
Y01211516	Pvalb
Y01211517	Pvalb
Y01211518	Pvalb
Y01211519	Pvalb
Y01211520	Pvalb
Y01211521	Pvalb
Y01211522	Pvalb
Y01211523	Pvalb
Y01211524	Pvalb
Y01211525	Pvalb
Y01211526	Pvalb
Y01211527	Pvalb
Y01211528	Pvalb
Y01211529	Pvalb
Y01211530	Pvalb
Y01211531	Pvalb
Y01211532	Pvalb
Y01211533	Pvalb
Y01211534	Pvalb
Y01211535	Pvalb
Y01211536	Pvalb
Y01211537	Pvalb
Y01211538	Pvalb
Y01211539	Pvalb
Y01211540	Pvalb
Y01211541	Pvalb
Y01211542	Pvalb
Y01211543	Pvalb
Y01211544	Pvalb
Y01211545	Pvalb
Y01211546	Pvalb
Y01211547	Pvalb
Y01211548	Pvalb
Y02121541	Pvalb
Y02121542	Pvalb
Y02121543	Pvalb
Y02121544	Sst
Y02121545	Pvalb
Y02121546	Pvalb
Y02121547	Pvalb
Y02121548	Pvalb
Y02121549	Pvalb
Y02121550	Pvalb
Y02121551	Pvalb
Y02121552	Pvalb
Y02121553	Pvalb
Y02121554	Pvalb
Y02121555	Pvalb
Y02121556	Pvalb
Y11041401	Pvalb
Y11041402	Pvalb
Y11041403	Pvalb
Y11041404	Pvalb
Y11041405	Pvalb
Y11041406	Pvalb
Y11041407	Pvalb
Y11041408	Pvalb
Y11041409	Pvalb
Y11041410	Pvalb
Y11041411	Pvalb
Y11041412	Pvalb
Y11041413	Pvalb
Y11041414	Pvalb
Y11041415	Pvalb
Y11041416	Pvalb
Y11041417	Glia
Y11041418	Pvalb
Y11041419	Pvalb
Y11041420	Pvalb
Y11041421	Pvalb
Y11041422	Pvalb
Y11041423	Pvalb
Y11041424	Pvalb
Y11041425	Pvalb
Z11041426	Vip
Z11041427	Vip
Z11041428	Vip
Z11041429	Vip
Z11041430	Vip
Z11041431	Vip
